metric_time__month,item__product_type,item_revenue_usd
2016-09-01 00:00:00,beverage,9061.0
2016-09-01 00:00:00,jaffle,7971.0
2016-10-01 00:00:00,beverage,10720.0
2016-10-01 00:00:00,jaffle,9964.0
2016-11-01 00:00:00,jaffle,12235.0
2016-11-01 00:00:00,beverage,14103.0
2016-12-01 00:00:00,jaffle,15810.0
2016-12-01 00:00:00,beverage,17850.0
2017-01-01 00:00:00,beverage,21814.0
2017-01-01 00:00:00,jaffle,20658.0
2017-02-01 00:00:00,jaffle,19432.0
2017-02-01 00:00:00,beverage,21474.0
2017-03-01 00:00:00,jaffle,31946.0
2017-03-01 00:00:00,beverage,38272.0
2017-04-01 00:00:00,jaffle,36996.0
2017-04-01 00:00:00,beverage,42250.0
2017-05-01 00:00:00,jaffle,42138.0
2017-05-01 00:00:00,beverage,49250.0
2017-06-01 00:00:00,jaffle,43155.0
2017-06-01 00:00:00,beverage,50528.0
2017-07-01 00:00:00,jaffle,41087.0
2017-07-01 00:00:00,beverage,49309.0
2017-08-01 00:00:00,jaffle,45623.0
2017-08-01 00:00:00,beverage,56756.0
