metric_time__month,store__store_name,orders,item_revenue_usd
2016-09-01 00:00:00,Philadelphia,1367,17032.0
2016-10-01 00:00:00,Philadelphia,1685,20684.0
2016-11-01 00:00:00,Philadelphia,2280,26338.0
2016-12-01 00:00:00,Philadelphia,2862,33660.0
2017-01-01 00:00:00,Philadelphia,3410,42472.0
2017-02-01 00:00:00,Philadelphia,3357,40906.0
2017-03-01 00:00:00,Philadelphia,3986,46316.0
2017-03-01 00:00:00,Brooklyn,2092,23902.0
2017-04-01 00:00:00,Philadelphia,3746,45188.0
2017-04-01 00:00:00,Brooklyn,2850,34058.0
2017-05-01 00:00:00,Brooklyn,3565,39886.0
2017-05-01 00:00:00,Philadelphia,4391,51502.0
2017-06-01 00:00:00,Brooklyn,3965,46135.0
2017-06-01 00:00:00,Philadelphia,3916,47548.0
2017-07-01 00:00:00,Brooklyn,4053,48049.0
2017-07-01 00:00:00,Philadelphia,3385,42347.0
2017-08-01 00:00:00,Philadelphia,3802,44961.0
2017-08-01 00:00:00,Brooklyn,4940,57418.0
