metric_time__day,qualifying_orders
2016-09-01 00:00:00,33
2016-09-02 00:00:00,33
2016-09-03 00:00:00,2
2016-09-04 00:00:00,1
2016-09-05 00:00:00,27
2016-09-06 00:00:00,33
2016-09-07 00:00:00,33
2016-09-08 00:00:00,36
2016-09-09 00:00:00,37
2016-09-10 00:00:00,5
2016-09-11 00:00:00,1
2016-09-12 00:00:00,35
2016-09-13 00:00:00,29
2016-09-14 00:00:00,30
2016-09-15 00:00:00,33
2016-09-16 00:00:00,31
2016-09-17 00:00:00,2
2016-09-18 00:00:00,2
2016-09-19 00:00:00,39
2016-09-20 00:00:00,33
2016-09-21 00:00:00,33
2016-09-22 00:00:00,37
2016-09-23 00:00:00,33
2016-09-24 00:00:00,2
2016-09-25 00:00:00,3
2016-09-26 00:00:00,31
2016-09-27 00:00:00,31
2016-09-28 00:00:00,35
2016-09-29 00:00:00,34
2016-09-30 00:00:00,41
2016-10-01 00:00:00,6
2016-10-02 00:00:00,4
2016-10-03 00:00:00,47
2016-10-04 00:00:00,54
2016-10-05 00:00:00,42
2016-10-06 00:00:00,53
2016-10-07 00:00:00,51
2016-10-08 00:00:00,3
2016-10-09 00:00:00,3
2016-10-10 00:00:00,48
2016-10-11 00:00:00,45
2016-10-12 00:00:00,50
2016-10-13 00:00:00,46
2016-10-14 00:00:00,45
2016-10-15 00:00:00,2
2016-10-16 00:00:00,5
2016-10-17 00:00:00,53
2016-10-18 00:00:00,50
2016-10-19 00:00:00,48
2016-10-20 00:00:00,49
2016-10-21 00:00:00,51
2016-10-22 00:00:00,1
2016-10-23 00:00:00,1
2016-10-24 00:00:00,52
2016-10-25 00:00:00,51
2016-10-26 00:00:00,53
2016-10-27 00:00:00,43
2016-10-28 00:00:00,55
2016-10-29 00:00:00,3
2016-10-30 00:00:00,3
2016-10-31 00:00:00,56
2016-11-01 00:00:00,55
2016-11-02 00:00:00,71
2016-11-03 00:00:00,54
2016-11-04 00:00:00,69
2016-11-05 00:00:00,8
2016-11-06 00:00:00,7
2016-11-07 00:00:00,67
2016-11-08 00:00:00,69
2016-11-09 00:00:00,64
2016-11-10 00:00:00,69
2016-11-11 00:00:00,62
2016-11-12 00:00:00,7
2016-11-13 00:00:00,7
2016-11-14 00:00:00,63
2016-11-15 00:00:00,72
2016-11-16 00:00:00,65
2016-11-17 00:00:00,75
2016-11-18 00:00:00,63
2016-11-19 00:00:00,6
2016-11-20 00:00:00,7
2016-11-21 00:00:00,63
2016-11-22 00:00:00,68
2016-11-23 00:00:00,62
2016-11-24 00:00:00,69
2016-11-25 00:00:00,77
2016-11-26 00:00:00,6
2016-11-27 00:00:00,4
2016-11-28 00:00:00,67
2016-11-29 00:00:00,66
2016-11-30 00:00:00,75
2016-12-01 00:00:00,82
2016-12-02 00:00:00,81
2016-12-03 00:00:00,10
2016-12-04 00:00:00,9
2016-12-05 00:00:00,78
2016-12-06 00:00:00,80
2016-12-07 00:00:00,84
2016-12-08 00:00:00,93
2016-12-09 00:00:00,89
2016-12-10 00:00:00,7
2016-12-11 00:00:00,7
2016-12-12 00:00:00,91
2016-12-13 00:00:00,96
2016-12-14 00:00:00,92
2016-12-15 00:00:00,91
2016-12-16 00:00:00,85
2016-12-17 00:00:00,10
2016-12-18 00:00:00,11
2016-12-19 00:00:00,88
2016-12-20 00:00:00,89
2016-12-21 00:00:00,87
2016-12-22 00:00:00,88
2016-12-23 00:00:00,87
2016-12-24 00:00:00,9
2016-12-25 00:00:00,10
2016-12-26 00:00:00,92
2016-12-27 00:00:00,94
2016-12-28 00:00:00,86
2016-12-29 00:00:00,91
2016-12-30 00:00:00,96
2016-12-31 00:00:00,4
2017-01-01 00:00:00,11
2017-01-02 00:00:00,104
2017-01-03 00:00:00,110
2017-01-04 00:00:00,109
2017-01-05 00:00:00,111
2017-01-06 00:00:00,108
2017-01-07 00:00:00,13
2017-01-08 00:00:00,11
2017-01-09 00:00:00,108
2017-01-10 00:00:00,101
2017-01-11 00:00:00,107
2017-01-12 00:00:00,108
2017-01-13 00:00:00,108
2017-01-14 00:00:00,14
2017-01-15 00:00:00,11
2017-01-16 00:00:00,110
2017-01-17 00:00:00,107
2017-01-18 00:00:00,109
2017-01-19 00:00:00,106
2017-01-20 00:00:00,106
2017-01-21 00:00:00,12
2017-01-22 00:00:00,10
2017-01-23 00:00:00,107
2017-01-24 00:00:00,109
2017-01-25 00:00:00,103
2017-01-26 00:00:00,93
2017-01-27 00:00:00,103
2017-01-28 00:00:00,11
2017-01-29 00:00:00,16
2017-01-30 00:00:00,105
2017-01-31 00:00:00,108
2017-02-01 00:00:00,105
2017-02-02 00:00:00,105
2017-02-03 00:00:00,109
2017-02-04 00:00:00,5
2017-02-05 00:00:00,8
2017-02-06 00:00:00,100
2017-02-07 00:00:00,106
2017-02-08 00:00:00,104
2017-02-09 00:00:00,104
2017-02-10 00:00:00,109
2017-02-11 00:00:00,9
2017-02-12 00:00:00,7
2017-02-13 00:00:00,116
2017-02-14 00:00:00,101
2017-02-15 00:00:00,120
2017-02-16 00:00:00,117
2017-02-17 00:00:00,104
2017-02-18 00:00:00,7
2017-02-19 00:00:00,11
2017-02-20 00:00:00,113
2017-02-21 00:00:00,103
2017-02-22 00:00:00,112
2017-02-23 00:00:00,94
2017-02-24 00:00:00,106
2017-02-25 00:00:00,11
2017-02-26 00:00:00,10
2017-02-27 00:00:00,96
2017-02-28 00:00:00,111
2017-03-01 00:00:00,124
2017-03-02 00:00:00,123
2017-03-03 00:00:00,122
2017-03-04 00:00:00,10
2017-03-05 00:00:00,13
2017-03-06 00:00:00,118
2017-03-07 00:00:00,123
2017-03-08 00:00:00,129
2017-03-09 00:00:00,130
2017-03-10 00:00:00,117
2017-03-11 00:00:00,8
2017-03-12 00:00:00,14
2017-03-13 00:00:00,180
2017-03-14 00:00:00,195
2017-03-15 00:00:00,188
2017-03-16 00:00:00,195
2017-03-17 00:00:00,181
2017-03-18 00:00:00,17
2017-03-19 00:00:00,18
2017-03-20 00:00:00,177
2017-03-21 00:00:00,187
2017-03-22 00:00:00,180
2017-03-23 00:00:00,187
2017-03-24 00:00:00,171
2017-03-25 00:00:00,14
2017-03-26 00:00:00,17
2017-03-27 00:00:00,190
2017-03-28 00:00:00,182
2017-03-29 00:00:00,190
2017-03-30 00:00:00,178
2017-03-31 00:00:00,185
2017-04-01 00:00:00,23
2017-04-02 00:00:00,13
