store_id,date_day,inventory_on_hand,active_menu_count,open_store_count
7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,2016-09-01,1200,14,1
7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,2016-09-30,1090,13,1
7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,2016-10-01,1085,13,1
08d44615-06d3-4086-a5d7-21395a1d975e,2017-03-12,900,12,1
08d44615-06d3-4086-a5d7-21395a1d975e,2017-03-31,870,12,1
08d44615-06d3-4086-a5d7-21395a1d975e,2017-04-01,860,13,1
f6f2bd97-becb-4e1c-a611-20c7cf579841,2018-04-29,980,11,1
f6f2bd97-becb-4e1c-a611-20c7cf579841,2018-04-30,972,11,1
f6f2bd97-becb-4e1c-a611-20c7cf579841,2018-05-01,968,12,1
48b0172c-4490-4f05-b290-e69f418d0575,2018-05-09,1020,10,1
48b0172c-4490-4f05-b290-e69f418d0575,2018-05-31,1005,10,1
48b0172c-4490-4f05-b290-e69f418d0575,2018-06-01,998,11,1
ed2af26d-35a1-4a31-ac65-7aedcaa7b7a7,2019-03-10,940,9,1
ed2af26d-35a1-4a31-ac65-7aedcaa7b7a7,2019-03-31,930,9,1
ed2af26d-35a1-4a31-ac65-7aedcaa7b7a7,2019-04-01,925,10,1
